symptom1,symptom2,symptom3,disease
fever,cough,fatigue,Influenza
headache,nausea,sensitivity to light,Migraine
chest pain,shortness of breath,sweating,Heart Attack
itchy eyes,sneezing,runny nose,Allergy
abdominal pain,diarrhea,vomiting,Food Poisoning
fever,sore throat,runny nose,Common Cold
shortness of breath,chest tightness,wheezing,Asthma
rash,itching,swelling,Skin Allergy
burning urination,frequent urination,Urinary Tract Infection
weight loss,fatigue,excessive thirst,Diabetes
joint pain,stiffness,swelling,Arthritis
persistent cough,blood in mucus,chest pain,Tuberculosis
fever,night sweats,body aches,Dengue
high fever,rash,red eyes,Zika Virus
jaundice,yellow skin,abdominal pain,Hepatitis
loss of smell,loss of taste,fever,COVID-19
fatigue,cold intolerance,weight gain,Hypothyroidism
tremor,muscle rigidity,slow movement,Parkinson's Disease
memory loss,confusion,difficulty concentrating,Alzheimer's Disease
frequent urination,excessive thirst,blurred vision,Diabetes Type 2
dry cough,fever,breathing difficulty,Pneumonia
facial drooping,arm weakness,speech difficulty,Stroke
sadness,loss of interest,fatigue,Depression
sore throat,difficulty swallowing,fever,Strep Throat
ear pain,hearing loss,fluid drainage,Ear Infection
abdominal cramps,bloating,gas,IBS
numbness,tingling,weakness,Multiple Sclerosis
abdominal pain,blood in stool,nausea,Appendicitis
weight gain,fatigue,constipation,PCOS
intense thirst,rapid breathing,fruity breath,Diabetic Ketoacidosis
lower back pain,stiffness,muscle spasms,Sciatica
night blindness,dry eyes,blurred vision,Vitamin A Deficiency
persistent cough,shortness of breath,fatigue,Bronchitis
blisters,fever,fatigue,Chickenpox
hoarseness,sore throat,cough,Laryngitis
sensitivity to cold,weight gain,depression,Hypothyroidism
sore throat,fever,swollen lymph nodes,Tonsillitis
